2021-08-20/11:15:21		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:04		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:04		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:04		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:05		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:05		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:06		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:06		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:06		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:07		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:07		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:07		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:08		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:08		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:08		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:09		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:09		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:09		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:10		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:10		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:11		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:11		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:12		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:12		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:12		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:13		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:13		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:13		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:14		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:14		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:14		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:15		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:15		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:15		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:16		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:16		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:17		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:17		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:18		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:18		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:18		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:19		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:19		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:19		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:20		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:20		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:20		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:21		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:21		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:21		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:22		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:22		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:22		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:23		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:23		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:23		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:24		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:24		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:24		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:25		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:25		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:25		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:26		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:26		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:26		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:27		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:27		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:27		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:28		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:28		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:28		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:29		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:29		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:30		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:30		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:30		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:31		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:31		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:31		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:32		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:32		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:32		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:33		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:33		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:33		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:34		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:34		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:34		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:35		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:35		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:35		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:36		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:36		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:37		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:37		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:37		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:38		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:38		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:39		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:39		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:39		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:40		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:40		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:40		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:41		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:41		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:41		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:42		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:42		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:43		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:43		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:43		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:44		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:44		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:44		 hypothyroid_0211198_0102062112001.csv: File loaded successfully!!
2021-08-20/11:16:45		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:45		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:46		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:46		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:46		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:47		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:47		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:48		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:48		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:49		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:49		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:49		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:50		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:50		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:50		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:51		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:51		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:52		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:52		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:52		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:53		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:53		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:53		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:54		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:54		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:54		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:55		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:55		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:55		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:56		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:56		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:57		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:57		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:57		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:58		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:58		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:59		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:59		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:16:59		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:00		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:00		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:00		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:01		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:01		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:02		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:02		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:02		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:03		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:03		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:03		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:04		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:04		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:05		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:05		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:05		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:06		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:06		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:06		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:07		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:07		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:08		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:08		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:09		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:09		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:09		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:10		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:10		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:10		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:11		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:11		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:11		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:12		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:12		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:13		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:13		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:13		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:14		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:14		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:14		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:15		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:15		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:16		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:16		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:16		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:17		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:17		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:18		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:18		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:18		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:19		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:19		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:19		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:20		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:20		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:21		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:21		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:21		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:22		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:22		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:22		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:23		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:23		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:24		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:24		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:25		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:25		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:25		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:26		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:26		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:26		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:27		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:27		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:27		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:28		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:28		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:28		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
2021-08-20/11:17:29		 hypothyroid_0211198_0102062112002.csv: File loaded successfully!!
